age,YOE,college_bool,uni_tier,industry,sector,valuation,growth_rate,funding_round,investor_no,good_fit_bool,acquisition_chance,failure_chance,exit_amt,exit_time_period_yrs,potential_TAM,2x_prob_1yr,2x_prob_5yr,10x_prob_1yr,10x_prob_5yr
56,16,true,2,n/a,n/a,36327571,51,4,9,false,47,4,6455057,5,53024843,84,47,25,69
70,11,true,3,Semiconductors,Technology,45604015,93,2,10,true,29,24,86233259,3,16089735,1,58,17,17
68,19,false,1,Commercial Banks,Finance,42680797,41,2,6,true,22,27,85551062,5,53142643,66,86,12,66
63,0,false,3,Specialty Chemicals,Capital Goods,31556869,33,1,2,false,20,17,68841148,3,80745506,12,95,10,5
65,20,true,1,Medical/Dental Instruments,Health Care,28860526,87,1,0,true,32,17,71925791,5,24034671,1,99,42,13
39,7,true,3,Electrical Products,Consumer Durables,12328626,87,3,7,false,41,22,23425387,3,94874399,75,84,34,6
49,12,true,3,n/a,n/a,13105609,24,1,6,true,36,8,51873296,4,80140257,10,49,40,20
46,18,false,2,Industrial Specialties,Health Care,19158278,100,3,2,false,47,9,61145352,3,48355706,91,91,36,80
18,6,true,3,n/a,n/a,5783870,49,2,9,true,2,28,48368786,4,72043264,86,81,6,56
40,6,true,3,Business Services,Finance,30103343,39,4,7,false,52,26,55662295,5,22300170,6,92,27,14
62,2,false,3,n/a,n/a,11956808,52,4,3,false,12,32,66075601,3,73766728,14,86,38,90
54,18,false,1,Major Banks,Finance,43609940,35,4,6,false,46,11,15640025,3,57097004,43,95,7,58
74,12,false,3,Clothing/Shoe/Accessory Stores,Consumer Services,39256274,73,4,2,false,23,23,37193866,4,11989032,33,43,14,75
36,16,true,1,Agricultural Chemicals,Basic Industries,157651,27,3,4,false,14,29,97054975,5,77788170,35,93,6,91
61,8,true,1,n/a,n/a,8056449,66,4,0,false,54,25,52344722,3,15192184,55,75,23,90
23,14,false,2,Business Services,Miscellaneous,38688902,65,4,6,false,68,12,77697986,5,83885453,39,62,7,60
74,11,true,3,Industrial Machinery/Components,Capital Goods,24970304,44,3,1,true,7,2,43967388,4,7573622,74,58,42,12
26,5,false,3,Publishing,Miscellaneous,16769825,8,3,9,true,17,7,74454088,5,15132082,23,94,37,39
53,4,true,3,n/a,n/a,44364880,15,3,5,true,11,7,67013592,5,11298343,20,40,44,43
38,18,true,1,Electric Utilities: Central,Public Utilities,38991433,16,3,7,false,7,18,57229647,4,62962426,16,45,45,40
22,5,false,3,n/a,n/a,39848545,38,3,5,true,43,26,39212111,5,20954817,64,48,42,39
70,16,false,3,n/a,n/a,44835398,1,1,8,true,61,15,8188554,4,27863525,19,79,12,95
46,10,false,2,Real Estate Investment Trusts,Consumer Services,11806745,97,3,9,false,51,13,46730084,4,99248701,67,64,16,64
33,4,true,1,Precious Metals,Basic Industries,844710,1,2,4,true,35,15,53506436,5,77446579,25,82,10,30
58,2,true,2,Automotive Aftermarket,Consumer Durables,24366086,68,3,10,true,4,34,43821820,4,51080336,2,53,7,46
66,7,true,3,Major Banks,Finance,43028163,55,1,1,false,33,24,48413502,3,2439895,46,78,16,8
38,5,true,3,Investment Bankers/Brokers/Service,Finance,10265828,28,4,0,false,50,14,16182721,3,99297986,59,99,24,63
31,20,true,1,Finance: Consumer Services,Finance,40831539,85,4,8,false,31,16,86964759,5,24217403,5,94,44,85
27,18,false,3,Marine Transportation,Transportation,48683819,47,2,6,false,3,20,19343750,3,93091702,58,50,35,75
18,7,false,1,n/a,n/a,39048546,40,2,1,true,30,3,69812512,3,75507757,39,40,25,80
52,13,true,1,n/a,n/a,12893428,37,4,2,true,22,4,19494174,5,66464719,3,35,29,30
50,10,true,3,Hospital/Nursing Management,Health Care,48552820,90,3,6,true,13,15,90423399,5,61049382,37,74,16,57
21,16,true,2,Natural Gas Distribution,Public Utilities,14712499,12,2,2,false,30,11,81558407,5,8861145,50,32,9,24
19,10,false,3,n/a,n/a,47791900,67,2,3,true,50,23,69709558,5,50779835,38,49,41,39
20,5,true,1,Property-Casualty Insurers,Finance,19571176,1,4,4,true,65,8,34502748,5,31979680,44,41,42,9
70,6,false,2,n/a,n/a,4514710,65,4,0,true,60,3,54618735,5,40747767,80,64,26,93
37,2,true,2,Television Services,Consumer Services,21734540,74,1,2,true,56,13,92438332,5,99253026,51,99,29,60
49,4,false,1,Investment Managers,Finance,7225094,7,1,8,false,57,29,41703279,4,70200846,47,79,14,7
24,15,false,1,n/a,n/a,20111214,73,4,7,false,21,33,60235355,5,82676965,30,34,19,52
35,12,false,1,Building Products,Capital Goods,44637883,30,2,0,false,56,9,72541181,5,73526983,5,54,37,65
22,2,true,3,Industrial Machinery/Components,Capital Goods,49000711,15,1,3,true,51,12,81493425,5,95616033,56,78,41,89
20,6,false,1,n/a,n/a,11615173,40,3,8,true,12,28,28311512,4,98380749,43,76,7,48
49,13,true,2,Natural Gas Distribution,Public Utilities,12355350,54,1,10,true,58,10,1531485,4,52392478,26,47,8,8
20,7,false,2,EDP Services,Technology,33875573,36,3,5,true,10,35,36158133,5,9077603,39,88,5,76
27,5,true,3,Business Services,Finance,18769268,85,1,0,true,17,14,85579406,4,73805870,9,46,21,70
74,12,true,1,n/a,n/a,24766722,70,2,7,true,2,22,75017642,3,29644477,19,95,11,20
47,9,false,1,Catalog/Specialty Distribution,Consumer Services,8461801,74,1,5,true,37,5,20101042,3,39791127,42,81,24,95
26,10,false,2,Food Chains,Consumer Services,7527004,56,2,0,true,57,31,64211567,3,82863824,52,68,33,46
50,6,false,1,n/a,n/a,19432497,96,3,3,false,23,27,20406495,5,62645598,92,44,35,44
39,15,true,3,Major Pharmaceuticals,Health Care,17337765,5,3,10,false,1,13,9958251,3,69982588,29,95,33,14
